 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,%Area,RawIntDen
1, 20mm:  6x [MV]; 400 [MU/min]  ,2.250E4,8.098E-2,4.381E-4,8.095E-2,7.942E-2,8.302E-2,5.950E2,5.950E2,1.822E3,8.095E-2,1.000E2,1.822E3
2, 6mm :  6x [MV]; 400 [MU/min]  ,2.250E4,2.798E-2,4.433E-4,2.782E-2,2.667E-2,2.992E-2,5.950E2,5.950E2,6.296E2,2.794E-2,1.000E2,6.296E2
3, Open:  6x [MV]; 400 [MU/min]  ,2.250E4,4.582E-1,9.256E-4,4.585E-1,4.532E-1,4.628E-1,5.950E2,5.950E2,1.031E4,4.583E-1,1.000E2,1.031E4
4, 14mm:  6x [MV]; 400 [MU/min]  ,2.250E4,5.825E-2,4.392E-4,5.818E-2,5.671E-2,6.045E-2,5.950E2,5.950E2,1.311E3,5.822E-2,1.000E2,1.311E3
5, TransmA :  6x [MV]; 400 [MU/min]  ,2.250E4,4.411E-3,5.030E-4,4.100E-3,3.370E-3,6.314E-3,5.950E2,5.950E2,9.925E1,4.300E-3,1.000E2,9.925E1
6, TransmB :  6x [MV]; 400 [MU/min]  ,2.250E4,4.313E-3,4.408E-4,4.044E-3,3.340E-3,6.474E-3,5.950E2,5.950E2,9.705E1,4.239E-3,1.000E2,9.705E1
7, 2mm :  6x [MV]; 400 [MU/min]  ,2.250E4,1.315E-2,4.510E-4,1.298E-2,1.197E-2,1.503E-2,5.950E2,5.950E2,2.959E2,1.311E-2,1.000E2,2.959E2
8, 10mm:  6x [MV]; 400 [MU/min]  ,2.250E4,4.314E-2,4.361E-4,4.297E-2,4.178E-2,4.500E-2,5.950E2,5.950E2,9.706E2,4.310E-2,1.000E2,9.706E2
9, 16mm:  6x [MV]; 400 [MU/min]  ,2.250E4,6.584E-2,4.359E-4,6.573E-2,6.435E-2,6.782E-2,5.950E2,5.950E2,1.481E3,6.580E-2,1.000E2,1.481E3
10, 4mm :  6x [MV]; 400 [MU/min]  ,2.250E4,2.045E-2,4.475E-4,2.028E-2,1.926E-2,2.239E-2,5.950E2,5.950E2,4.601E2,2.041E-2,1.000E2,4.601E2
11,Result of  20mm:  6x [MV]; 400 [MU/min]  ,2.250E4,1.767E-1,8.825E-4,1.765E-1,1.744E-1,1.800E-1,5.950E2,5.950E2,3.977E3,1.767E-1,1.000E2,3.977E3
12,Result of  6mm :  6x [MV]; 400 [MU/min]  ,2.250E4,6.107E-2,9.571E-4,6.065E-2,5.868E-2,6.504E-2,5.950E2,5.950E2,1.374E3,6.099E-2,1.000E2,1.374E3
13,Result of  14mm:  6x [MV]; 400 [MU/min]  ,2.250E4,1.271E-1,9.196E-4,1.269E-1,1.247E-1,1.310E-1,5.950E2,5.950E2,2.861E3,1.271E-1,1.000E2,2.861E3
14,Result of  TransmA :  6x [MV]; 400 [MU/min]  ,2.250E4,9.628E-3,1.097E-3,9.215E-3,7.345E-3,1.377E-2,5.950E2,5.950E2,2.166E2,9.389E-3,1.000E2,2.166E2
15,Result of  TransmB :  6x [MV]; 400 [MU/min]  ,2.250E4,9.414E-3,9.630E-4,8.955E-3,7.281E-3,1.414E-2,5.950E2,5.950E2,2.118E2,9.250E-3,1.000E2,2.118E2
16,Result of  2mm :  6x [MV]; 400 [MU/min]  ,2.250E4,2.871E-2,9.816E-4,2.832E-2,2.626E-2,3.266E-2,5.950E2,5.950E2,6.459E2,2.861E-2,1.000E2,6.459E2
17,Result of  10mm:  6x [MV]; 400 [MU/min]  ,2.250E4,9.415E-2,9.315E-4,9.364E-2,9.175E-2,9.789E-2,5.950E2,5.950E2,2.118E3,9.407E-2,1.000E2,2.118E3
18,Result of  16mm:  6x [MV]; 400 [MU/min]  ,2.250E4,1.437E-1,9.035E-4,1.432E-1,1.410E-1,1.474E-1,5.950E2,5.950E2,3.233E3,1.436E-1,1.000E2,3.233E3
19,Result of  4mm :  6x [MV]; 400 [MU/min]  ,2.250E4,4.463E-2,9.701E-4,4.431E-2,4.205E-2,4.872E-2,5.950E2,5.950E2,1.004E3,4.454E-2,1.000E2,1.004E3
